,Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Year,Country
1669,upGrad,edtech,seed,120000000,Mumbai,UpGrad is an online higher education platform.,2021,India
1670,Lead School,edtech,series d,30000000,Mumbai,LEAD School offers technology based school transformation system that assures excellent learning for every child.,2021,India
1671,Bizongo,b2b e-commerce,series c,51000000,Mumbai,Bizongo is a business-to-business online marketplace for packaging products.,2021,India
1672,FypMoney,fintech,seed,2000000,Gurugram,"FypMoney is Digital NEO Bank for Teenagers, empowering them with financial literacy and ease of secured financial transactions.",2021,India
1673,Urban Company,home services,seed,188000000,Delhi,"Urban Company (Formerly UrbanClap) is a home and beauty services platform in India, Middle East, Singapore and Australia",2021,India
1674,Comofi Medtech,healthtech,seed,200000,Bengaluru,Comofi Medtech is a healthcare robotics startup.,2021,India
1675,Qube Health,healthtech,pre-series a,1600000,Mumbai,India's Most Respected Workplace Healthcare Management Company,2021,India
1676,Vitra.ai,tech startup,seed,1600000,Bengaluru,Vitra.ai is an AI-based video translation platform,2021,India
1677,Taikee,e-commerce,seed,1000000,Mumbai,"Taikee is the ISO-certified, B2B e-commerce platform of Peel-Works, enabling better lives for corner stores.",2021,India
1678,Fitterfly,healthtech,pre-series a,3000000,Mumbai,"Fitterfly offers customized and personalized wellness programs for diabetes PCOS, pregnancy, weight loss, pediatric and nutrition.",2021,India
1679,FreeStand,b2b service,seed,100000,Delhi,FreeStand enables FMCG brands to execute trackable and scalable product sampling campaigns.,2021,India
1680,MyDentalPlan,helathcare,seed,700000,Bengaluru,My Dental Plan provides dental care packages and services.,2021,India
1681,Freyr Energy,renewable energy,seed,2000000,Hyderabad,"Freyr Energy is a company that provides full service solar provider based in Hyderabad, India.",2021,India
1682,DealShare,e-commerce,seed,9000000,Jaipur,DealShare is a Social Commerce Startup,2021,India
1683,Tessolve,electronics,seed,40000000,Bengaluru,"Tessolve Semiconductor offers engineering in semiconductor design, test/product engineering, failure analysis, systems design.",2021,India
1684,Smart Joules,renewable energy,seed,49000000,Delhi,Smart Joules is an energy management company.,2021,India
1685,ORAI,it startup,pre-series a,400000,Bengaluru,AI-Powered Robotic Virtual Assistant (RVA) for Amplifying Performance of Poor quality leads and bring more MQL and SQL,2021,India
1686,ixamBee,edtech,seed,300000,Delhi,ixamBee is to provide best online learning experience for preparation of competitive exams.,2021,India
1687,CoinSwitch Kuber,fintech,series b,25000000,Bengaluru,CoinSwitch Kuber is an India-based cryptocurrency exchange platform.,2021,India
1688,Razorpay,fintech,series e,160000000,Bengaluru,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.",2021,India
1689,Uable,edtech,seed,1600000,Bengaluru,Uable offers role based programmes to empower children to explore different domains.,2021,India
1690,ZFW Hospitality,food & beverages,pre-seed,150000,Delhi,Creating a sustainable and scalable cloud kitchen network.,2021,India
1691,Optimized Electrotech,aeorspace,pre-series a,1800000,Ahmadabad,"Long distance, multispectral Surveillance Equipment for Defense, Aerospace, Critical Asset Protection",2021,India
1692,Northern Arc,fintech,seed,5000000,Chennai,Northern Arc Capital is a Non-Banking Finance Company that provides borrows with access to debt investors.,2021,India
1693,Chara,deep tech,seed,850000,Bengaluru,"A scalable, cloud-controlled, and rare earth mineral free Hardware and Software platform for the Switched Reluctance Motor and other magnet free motor technologies.",2021,India
1694,Sirona Hygiene,healthtech,series a,3000000,Delhi,Solving unaddressed Intimate & Menstrual Hygiene issues with our award-winning innovative & modern products.,2021,India
1695,Pristyn Care,healthtech,series d,53000000,Gurugram,Pristyn Care is Health Care Startup that is disrupting Elective Surgery Procedures,2021,India
1696,TrulyMadly,dating,pre-series a,2000000,Delhi,Trulymadly is a dating platform that uses a match making algorithm.,2021,India
1697,Vidyakul,edtech,seed,500000,Bengaluru,Vidyakul is an vernacular e-learning platform that helps state board students to learn academics via pre-recorded and live lectures,2021,India
1698,Jambox Games,gaming,seed,1100000,Bengaluru,"A competitive game publishing platform to help developers in India and Southeast Asia to publish their games, and compete with the global incumbents.",2021,India
1699,Miko,robotics,seed,6000000,Mumbai,"Miko is an advanced robotics startup focusing on robotics, AI & IoT.",2021,India
1700,SuperK,retail,seed,800000,"Small towns, andhra pradesh",SuperK is a full-stack solution to empower small format retail stores in India.,2021,
1701,TagZ Foods,food,pre-series a,500000,Bengaluru,TagZ Foods is a supplier of snacks and food products.,2021,India
1702,Fuel Buddy,oil and energy,seed,1000000,Delhi,FuelBuddy is the FIRST legal private company in India to have permissions in place to deliver fuel. FUELDELIVERY APP.,2021,India
1703,M1xchange,fintech,seed,10000000,Gurugram,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,2021,India
1704,Spintly,tech startup,seed,500000,Goa,Wireless cloud based access control platform,2021,India
1705,EF Polymer,agritech,seed,200000,Rajsamand,Sustainable Agriculture by creating sustainable inputs solution for agriculture to save water and fertilizer with enhancing yield.,2021,India
1706,boAt,electronics,seed,6000000,Delhi,boAt is a consumer electronics and lifestyle company.,2021,India
1707,TruNativ,food & beverages,seed,1600000,Mumbai,TruNativ Foods & Beverages Pvt Ltd,2021,India
1708,iBus,telecommuncation,seed,21000000,Bengaluru,iBus Networks is an in-building connectivity solutions company,2021,India
1709,Puresh Daily,milk startup,seed,100000,Ranchi,PUREandFRES-Milk delivers fresh milk directly from its farm to home. Fresh Milk without any trace of chemicals is packed and sealed in glass bottle.,2021,India
1710,LearnVern,edtech,seed,1000000,Ahmadabad,LearnVern.com is a training portal where anyone can learn any course in vernacular languages for free.,2021,India
1711,LimeChat,ai chatbot,seed,7500000,"Faridabad, haryana",Limechat provides a personalised shopping experience for D2C companies on chat platforms using L3 conversational AI.,2021,India
1712,Dybo,it,seed,100000,Bengaluru,Product Visualisation Technology for Commerce,2021,India
1713,moEVing,logistics,seed,1000000,Gurugram,"Delivering clean, cost-effective and efficient mobility solutions.",2021,India
1714,WeWork India,hospitality,seed,26000000,Bengaluru,"Transform buildings into beautiful, collaborative workspaces and provide infrastructure, services, events and tech",2021,India
1715,Solethreads,fashion,series a,1000000,Gurugram,SOLETHREADS is a ‘Made in India’ footwear brand that’s creating a flip flop revolution.,2021,India
1716,Beldara,e-commerce,seed,7400000,Mumbai,"BELDARA.COM IS A GLOBAL B2B marketplace, enables businesses to sell worldwide.",2021,India
1717,CredFlow,fintech,seed,2000000,Delhi,CredFlow provides financial solutions to automate your cashflows.,2021,India
1718,Do Your Thng,marketing,seed,1500000,Gurugram,World's first shared economy platform for digital assets.,2021,India
1719,Oye Rickshaw,transportation,seed,3000000,Gurugram,Oye Rickshaw is an electric vehicle energy solutions company that connects people with public transportation using a booking app.,2021,India
1720,Legitquest,legaltech,seed,600000,Delhi,LegitQuest is a legal-tech company that operates a legal research platform with Indian case laws.,2021,India
1721,Swiggy,food delivery,seed,800000000,Bengaluru,Swiggy is an on-demand food delivery platform that brings food from neighborhood restaurants directly to customers' doors.,2021,India
1722,AntWak,edtech,seed,1600000,Bengaluru,AntWak provides a video platform for e-learning service.,2021,India
1723,PlayShifu,edtech,series b,17000000,Bengaluru,PlayShifu is an EdTech startup that offers teaching/learning tools for kids (4-12 years of age).,2021,India
1724,Pitstop,automotive,pre-series b,3500000,Bengaluru,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,2021,India
1725,Lendingkart,fintech,debt,15000000,Gujarat,Lendingkart is an online financing company dedicated to help entrepreneurs and small businesses with Working Capital Loans.,2021,India
1726,CRED,fintech,series d,215000000,Bengaluru,CRED is a members-only credit card management and bill payments platform that rewards users every time they pay their credit card bills.,2021,India
1727,Karnival,saas startup,seed,2500000,Bengaluru,A SAAS platform for retailers and brands to create wonderful post purchase customer journeys using smart receipts technology,2021,India
1728,PharmEasy,healthtech,series e,350000000,Mumbai,"PharmEasy is a health tech startup offering services such as teleconsultation, medicine deliveries, and diagnostic test sample collection.",2021,India
1729,WESS,renewable energy,seed,2000000,Mumbai,Waaree is India's Largest Solar Module Manufacturer & fastest growing EPC company with Presence across 68 countries.,2021,India
1730,ShopSe,fintech,seed,5500000,Mumbai,Make purchases online or at neighborhood store in easy EMIs through ShopSe.,2021,India
1731,Fantasy Akhada,fantasy sports,seed,600000,Gurugram,Fantasy Akhada offers fantasy sports platform for cricket and football.,2021,India
1732,Rage Coffee,food & beverages,pre-series a,1600000,Delhi,Rage Coffee is infused with plant based vitamins. These 100% natural extracts are typically found in foods.,2021,India
1733,Groww,fintech,series d,83000000,Bengaluru,Groww is an investment platform that offers a new way of investing money with stockbroking and direct mutual funds.,2021,India
1734,Avanti Finance,fintech,series a,26000000,Bengaluru,Avanti Finance lends relatively large but trust-based loans without formal credit footprint.,2021,India
1735,Kudos,fintech,pre-series a,1600000,Pune,"Kudos is a full stack NBFC, a digital lending engine with an in-built API lending protocol layer of over 20+ API’s.",2021,India
1736,OfBusiness,fintech,seed,110000000,Gurugram,OfBusiness is a financing platform that offers smart financing to SMEs.,2021,India
1737,Superpro.ai,video communication,seed,3000000,Bengaluru,Enabling independent professionals to bring offline consulting online with AI,2021,India
1738,ShareChat,social media,seed,500000000,Bengaluru,ShareChat is a social networking and regional content platform.,2021,India
1739,WiT-ACE,skill development,seed,1000000,Gurugram,"Offer accelerated career experiences for women by Enabling, Engaging & Employing them to be in decision making roles.",2021,India
1740,Spinny,retail,series c,65000000,Gurugram,Spinny is a used car buying platform enabling trustworthy and hassle-free transactions.,2021,India
1741,Alteria Capital,fintech,debt,150000000000,Mumbai,Alteria Capital is a Venture debt firm .,2021,India
1742,Safexpay,fintech,seed,6000000,Thane,SafexPay is set up with the aim to build digital payments businesses and channel platforms encompassing payment gateways,2021,India
1743,PumPumPum,rental,pre-series a,700000,Gurugram,Pumpumpum is a car rental company.,2021,India
1744,Speciale Invest,fintech,seed,10000000,Bengaluru,Speciale Invest is an early stage investor focusing on Tech-driven/Deep-tech ventures.,2021,India
1745,Eunimart,e-commerce,pre-series a,700000,Hyderabad,Eunimart is a one stop solution for merchants to create a difference by selling globally.,2021,India
1746,Meesho,e-commerce,seed,300000000,Bengaluru,Meesho operates as an online reselling platform that enables anyone to start a business without investment.,2021,India
1747,CareerLabs,edtech,seed,2200000,Bengaluru,"Aim to help students become future-ready, setting them on a path to success that suits them best.",2021,India
1748,Uable,edtech,pre-series a,35000000,Bengaluru,Uable are on a bold mission to redefine the future for millions of teenagers around the world.,2021,India
1749,Zoko,tech startup,seed,140000000,Bengaluru,"Zoko makes it easy for businesses to do Sales, Marketing & Customer Support on WhatsApp.",2021,India
1750,GetWork,recruitment,seed,200000,Gurugram,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,2021,India
1751,Easebuzz,e-commerce,series a,4000000,Pune,Easebuzz is an easy to use portal which allows you to start an online business and sell your favorite products with a free online store.,2021,India
1752,Chingari,social media,seed,13000000,Bengaluru,Chingari operates as a short video platform.,2021,India
1753,DusMinute,retail,pre-series a,1100000,Bengaluru,DusMinute aims to transform how communities live by giving them access to world-class amenities at their doorstep.,2021,India
1754,Onsurity,healthcare,seed,1600000,Bengaluru,Onsurity is an employee healthcare platform providing a monthly healthcare membership with group health insurance to emerging businesses.,2021,India
1755,Karbon Card,fintech,seed,1600000,Bengaluru,Prime objective is to empower Indian startups by creating the right financial products starting with a high-limit corporate credit card with unlimited benefits,2021,India
1756,Factors.AI,saas startup,seed,2000000,Bengaluru,"Factors.AI is a Marketing Analytics platform providing sophisticated omnichannel, every-touch attribution technology and unparalleled performance insights for Marketers",2021,India
1757,Elevar,sports,seed,2000000,Mumbai,"A Revolutionary Sports Brand, Engineered For Those Who Want More.",2021,India
1758,Studio Sirah,computer games,seed,800000,Bengaluru,Studio Sirah is founded with a belief in the increasing sophistication of the Indian gamer and the whitespace of midcore India-first games.,2021,India
1759,OTO Capital,fintech,seed,6000000,Mumbai,The Future Of Vehicle Ownership!,2021,India
1760,1Bridge,consumer goods,seed,2500000,Bengaluru,"Village Commerce Network - Bridging Aspirations, Creating Opportunities, Bringing Prosperity & Abundance to our village",2021,India
1761,Skeps,fintech,seed,9500000,Gurugram,"A blockchain products company, developing a proprietary product in the FinTech space",2021,India
1762,Curefoods,food & beverages,seed,13000000,Bengaluru,Healthy & nutritious foods and cold pressed juices produced in Edinburgh. Currently distributing wholesale within the Edinburgh region.,2021,India
1763,Advantage Club,hrtech,seed,1700000,Mumbai,"Advantage Club is India's largest employee engagement platform, Provide end to end employee benefit management with state of the art products like:",2021,India
1764,TartanSense,information technology,series a,5000000,Bengaluru,TartanSense unlocks value for small farm holders by working at the intersection of robotics and AI assisted computer vision.,2021,India
1765,Bewakoof,apparel & fashion,seed,8000000,Mumbai,"Bewakoof is a lifestyle fashion brand that makes creative, distinctive fashion for the trendy, contemporary Indian.",2021,India
1766,Kirana247,logistics & supply chain,pre-series a,1000000,Delhi,An on-demand FMCG supply chain company leveraging a deep tech-enabled micro warehousing model to serve Kirana stores.,2021,India
1767,FanPlay,computer games,pre-series a,1200000,Delhi,A real money game app specializing in trivia games,2021,India
1768,NeoDocs,healthtech,pre-seed,1600000,Mumbai,"Neodocs is a part of India's prominent Social Impact Accelerator program, AISEA.",2021,India
1769,IsGoingOnline,retail,pre-series a,200000,Cochin,Kochi-based digital catalogue and marketplace IsGoingOnline,2021,India
1770,Camp K12,edtech,series a,12000000,Gurugram,"Camp K12 is a global online school for 21st century skills, teaching Coding and other STEAM subjects to kids age 6-18 via LIVE, interactive, gamified online sessions",2021,India
1771,Elda Health,healthcare,seed,1500000,Bengaluru,"Elda Health is a digital wellness platform that understands women intimately and offers a holistic wellness solution through physical, mental and social interventions.",2021,India
1772,Sporjo,sportstech,pre-series a,2000000,Mumbai,A one stop destination to build a successful career in the Indian sports industry!,2021,India
1773,SuperGaming,gaming,series a,5500000,Pune,"At SuperGaming, building India's best gaming company.",2021,India
1774,Ruptok,fintech,seed,1000000,Delhi,"Ruptok fintech Pvt. Ltd. is an online gold loan service provider , with attractive interests rate .",2021,India
1775,O’ Be Cocktails,wine & spirits,seed,400000,Bengaluru,India’s first and only Ready to Drink Premium Cocktails.,2021,India
1776,Zetwerk,mechanical & industrial engineering,series e,150000000,Bengaluru,ZETWERK is a universal manufacturing network powered by new-age technology.,2021,India
1777,AppsForBharat,spiritual,seed,4000000,Bengaluru,"A mission to assist a billion Indians in their spiritual journey and help them feel happier, peaceful & more content.",2021,India
1778,Imagimake,consumer goods,seed,1600000,Mumbai,"Imagimake – one of the fastest growing and most innovative start-up in the field of Toys, Games & Artist Supplies.",2021,India
1779,Khatabook,financial services,series c,100000000,Bengaluru,Khatabook is the world's fastest-growing Saas company. It has become India's leading business management app for MSMEs with 50M+ downloads in a remarkably short period of time.,2021,India
1780,Smytten,consumer goods,series a,6000000,Gurugram,India's largest premium discovery and trial platform!,2021,India
1781,Syook,industrial automation,series a,1000000,Bengaluru,Syook is building the next generation enterprise IOT platform.,2021,India
1782,Akudo,fintech,pre-seed,1600000,Bengaluru,Akudo is pioneering the concept of Learning-First Banking for Teenagers.,2021,India
1783,NOTO,consumer goods,pre-series a,500000,Mumbai,"A healthy, low-calorie ice cream for the millennial Indian with an incurable sweet tooth.",2021,India
1784,Lumiq,information technology,seed,2000000,Noida,Help enterprises monetize their data and reinvent the digital transformation journey.,2021,India
1785,CommerceUp,information technology,seed,1600000,Gurugram,Grow and manage ecommerce business from single dashboard,2021,India
1786,Breathe Well-being,health,series a,5500000,Gurugram,"Help people to prevent, manage or reverse Type 2 Diabetes through our clinically proven digital program.",2021,India
1787,Hike,information technology,seed,1600000,Delhi,Hike is an Indian AI-led Unicorn startup that is committed to building a new social future.,2021,India
1788,House of Kieraya,lifestyle,seed,15000000,Bengaluru,"House of Kieraya, well-known for furniture and lifestyle rental brand ﻿Furlenco",2021,India
1789,goEgoNetwork,automotive,seed,2000000,Pune,"goEgo is a complete E Mobility charging solution, that combines engagement, rewards & adoption through a mix of online and offline channels.",2021,India
1790,Probus,iot,bridge,500000,Delhi,"A mission to increase the per capita consumption of electricity in India by 10X, which is presently 1/3 of global average- by reducing the distribution losses in Indian electricity distribution grid.",2021,India
1791,DrinkPrime,consumer goods,seed,1000000,Bengaluru,India's Smartest Water Purifiers and are redefining water purifier ownership.,2021,India
1792,Smart Express,logistics,seed,10000000,Mumbai,India’s Most Innovative and Awarded Express Logistics Company.,2021,India
1793,Smallcase,fintech,series c,40000000,Bengaluru,Smallcase is a new way to invest in the stock markets.,2021,India
1794,SATYA MicroCapital,banking,seed,10000000,Delhi,Satya MicroCapital Limited is a Delhi based NBFC serving low income entrepreneurs in rural and urban areas.,2021,India
1795,Snack Amor,food & beverages,seed,1600000,Mumbai,"Snack Amor aims is to offer a healthy, natural and tasty snacking experience to its customers.",2021,India
1796,Postman,computer software,series d,225000000,Bengaluru,Postman is the collaboration platform for API development.,2021,India
1797,Hashnode,computer software,series a,6700000,Bengaluru,The easiest way to start a blog on personal domain for free & connect with the readers through our dev community,2021,India
1798,RACEnergy,automotive,seed+,1300000,Hyderabad,RACEnergy is working to power the future of mobility through clean and efficient technologies.,2021,India
1799,BharatPe,fintech,debt,20000000,Delhi,The vision to make financial inclusion a reality for Indian merchants.,2021,India
1800,Gyde,computer software,seed,250000,Pune,"Gyde is a SAAS product that enables enterprises & SAAS companies to guide their application (web & mobile) users with step-by-step voice assistance, byte-sized training videos & rich help articles.",2021,India
1801,BatteryPool,automotive,seed,1600000,Pune,Building the Operating System for managing Electric Vehicles in fleets.,2021,India
1802,AgNext,agritech,series a,21000000,Chandigarh,"AgNext is a fast-growing AgTech company that aims to solve quality and trust in food value chains by making them safer, transparent and fairer.",2021,India
1803,Xpresslane,tech startup,pre-seed,400000,Bengaluru,"Xpresslane makes checkout fast and easy. With a unified identity across all e-commerce merchants, it brings efficiency and perfection in the overall checkout experience of the user.",2021,India
1804,LoanKuber,digital mortgage,pre-series a,1200000,Delhi,LoanKuber is the lowest cost lender to Yest-to be Bankable - enabling borrowing with trust and confidence.,2021,India
1805,OYO,hospitality,series f2,5000000,Gurugram,OYO is a global travel tech company that connects its patrons and guests.,2021,India
1806,Rapido,information technology & services,seed,52000000,Bengaluru,Rapido is a bike taxi service spread widely across all of India from Tier 1 to Tier 3 cities.,2021,India
1807,YPay,fintech,seed,400000,Noida,YPay Card is the new way to manage money.,2021,India
1808,SleepyCat,furniture,seed,3800000,Mumbai,An online sleep solutions company that believes in delivering luxurious sleep to everyone.,2021,India
1809,Ultrahuman,healthcare,seed,17500000,Bengaluru,Ultrahuman is a global health and fitness platform that aids our user to achieve their true physical and mental potential.,2021,India
1810,UpScalio,e-commerce,seed,42000000,Gurugram,"UpScalio is India’s next generation, data-driven consumer goods company.",2021,India
1811,Yellow Class,edtech,seed,6000000,Gurugram,"Yellow Class is a new-age fun-learning platform where kids between 2-12 years can learn from a wide range of classes like dancing, drawing, personality development, creative writing and so on",2021,India
1812,Yojak,b2b marketplace,seed,3800000,Gurugram,India’s first B2B online marketplace for building material.,2021,India
1813,CreatorStack,computer software,seed,2000000,Bengaluru,Helping creators globally to engage deeply with their fans and communities,2021,India
1814,Expertrons,edtech,seed,2300000,Mumbai,The world's largest AI Videobot platform providing futuristic solutions for businesses & colleges and employment,2021,India
1815,Rage Coffee,food & beverages,seed,5000000,Delhi,"Rage Coffee is a digitally native FMCG company that manufactures, markets & distributes innovative coffee products.",2021,India
1816,Klub,financial services,seed,20000000,Bengaluru,Klub was founded with the vision of revolutionizing growth capital for Asia’s most loved brands.a,2021,India
1817,Navia Life Care,healtcare,seed,1000000,Delhi,Navia Life Care is a health technlogy company with a special focus on patient care.,2021,India
1818,1K Kirana Bazaar,retail,seed,7000000,Gurugram,India's First and Largest Network of Small-Town Kirana Stores,2021,India
1819,Zupee,gaming,seed,30000000,Gurugram,"Mission to improve people’s lives by improving their learning ability, skills and mental aptitude through scientifically designed mental exercises, applications",2021,India
1820,Locale.ai,location analytics,seed,1000000,Bengaluru,Location Analytics for Companies With Moving Assets and Ground Operations.,2021,India
1821,VerSe Innovation,media,seed,450000000,Bengaluru,"The core of the company (VerSe Innovation), is the idea that technology can help bridge the digital divide.",2021,India
1822,MetroRide,transportation,seed,1600000,Bengaluru,"Urban Mobility Affordable, Punctual & Sustainable.",2021,India
1823,Miko,consumer electronics,seed,28000000,Mumbai,"Miko is an advanced robotics startup founded by three IIT Bombay post-graduates on the pillars of robotics, AI & IoT.",2021,India
1824,Whiz League,edtech,seed,300000,Delhi,Revolutionizing learning experience that goes beyond academia,2021,India
1825,Hash,tobacco,seed,3500000,Delhi,Hash is a new startup in consumer goods.,2021,India
1826,Unacademy,edtech,seed,1600000,Bengaluru,Unacademy aims to build the world's largest online knowledge repository for multi-lingual education.,2021,India
1827,Log 9 Materials,deeptech,series a+,8500000,Bengaluru,Log9 Materials is on a mission to make global energy 100% clean.,2021,India
1828,upGrad,edtech,seed,25000000,Mumbai,"upGrad is India’s largest online higher education company providing programs in Data Science, Technology, Management and Law, to students, working professionals and enterprises.",2021,India
1829,FlashPrep,edtech,pre-seed,500000,Bengaluru,FlashPrep is the smart way to master learning.,2021,India
1830,Kenko Health,insuretech,pre-series a,1700000,Mumbai,"A unique healthcare financing solution focusing on ROI, affordability and superior customer experience",2021,India
1831,Wiz Freight,logistics & supply chain,seed,3500000,Chennai,"Wiz is a tech-enabled freight forwarding platform. We make global shipping efficient, hassle-free and highly visible for businesses.",2021,India
1832,Credgenics,financial services,series a,25000000,Delhi,Credgenics is India’s first of it's kind NPA resolution platform backed by credible investors including Accel Partners and Titan Capital.,2021,India
1833,BlueLearn,edtech,pre-seed,400000,Goa,"Building India's largest student community. Learn, network, and grow together with 40,000+ students!",2021,India
1834,NimbleBox.ai,mlops platform,seed,1000000,Chennai,A full-stack MLOps platform built to create & launch multi-cloud apps on the cloud,2021,India
1835,Pickrr,logistics & supply chain,series b,12000000,Gurugram,India's 1st Virtual Logistics solution catering to Global Brands/SMEs/Online sellers/AmazonSellers,2021,India
1836,Stellaris Venture Partners,venture capital,seed,225000000,Bengaluru,Early-stage tech VC in India.,2021,India
1837,Grip Invest,financial services,series a,3000000,Gurugram,"Grip offers investment opportunities to invest in physical assets leased to corporates, to earn fixed monthly returns.",2021,India
1838,Heads Up For Tails,pet care,series a,37000000,Delhi,"A one stop shop for all pet products with paw prints all across India, we design, manufacture and customize stylish",2021,India
1839,Blue Tokai Coffee Roasters,food & beverages,pre-series b,2000000,Delhi,"Source, roast, and brew India's best single-origin Arabica coffee.",2021,India
1840,Neeman,consumer goods,series a,2000000,Hyderabad,India's first Startup to use the world's most revolutionary Natural & Renewable fibers in Footwear,2021,India
1841,BharatPe,fintech,series e,370000000,Delhi,"BharatPe launched India’s first UPI interoperable QR code, first ZERO MDR payment acceptance service, and first UPI payment backed merchant cash advance service.",2021,India
1842,GoSats,fintech,seed,700000,Bengaluru,GoSats is a bitcoin stacking app that lets users earn bitcoin cashbacks when they shop with our partnered merchants.,2021,India
1843,StockGro,fintech,pre-series a,5000000,Bengaluru,Making Investment Social- India's First Social Trading Platform,2021,India
1844,Onsurity,healthcare,series a,16000000,Bengaluru,"Onsurity is a HealthTech & Employee Benefits organization, disrupting the SME and startup healthcare market with technology and innovation!",2021,India
1845,Khabri,media,pre-series a,2000000,Gurugram,Khabri is India’s fastest growing vernacular audio platform targeted at next billion internet users.,2021,India
1846,Celcius,logistics,seed,500000,Mumbai,Celcius is a asset light startup with a web and app based SaaS platform which brings the complete cold chain solution network ONLINE,2021,India
1847,AyuRythm,healthcare,seed,1600000,Bengaluru,AyuRythm is the world's first completely digital solution for personalized holistic wellness based on Ayurvedic principles.,2021,India
1848,Enguru,edtech,pre-series a,1600000,Bengaluru,Enguru provides a personalized & gamified English learning solution to prepare young adults for the workplace.,2021,India
1849,Rocket Skills,edtech,pre-seed,200000,Gurugram,Rocket Skills is the #1 Platform for learning skills which will bring a high positive impact on your business and life skills.,2021,India
1850,RenewBuy,fintech,series c,10000000,Gurugram,"Simplify insurance and aim to take it to the last Indian, through our digitally enabled POSP advisors.",2021,India
1851,Faarms,agritech,seed,2000000,Bengaluru,FAARMS™ is a new age digital platform which aims to offer a one-stop solution to farmers.,2021,India
1852,UrbanMatrix Technologies,drone,seed,100000,Chennai,Helping Industries & Organizations to seamlessly adopt drones in their workflow to elevate efficiency & profitability,2021,India
1853,Jupiter,banking,series b,44000000,Mumbai,"A digital banking experience that keeps pace with you, and helps master money too.",2021,India
1854,Pixuate,deeptech,seed,1000000,Bengaluru,"Pixuate enables intelligent business process automation through advanced computer vision, AI and machine learning.",2021,India
1855,Playo,sportstech,pre-series a,500000,Bengaluru,Playo is a one stop destination app for all things sports,2021,India
1856,Toothsi,health,series b,20000000,Mumbai,India’s first and largest at home smile makeover service using invisible aligners.,2021,India
1857,Soothe Healthcare,consumer goods,series c,10000000,Delhi,"Soothe is a consumer goods company engaged in manufacture, marketing & distribution of Personal Hygiene products.",2021,India
1858,Goodmeetings,computer software,series a,1700000,Bengaluru,AI-Based Platform Built Exclusively for Remote Selling,2021,India
1859,Apnaklub,wholesale,seed,3500000,Bengaluru,Apnaklub is India's most trusted wholesale platform that empowers people to set up their own retail and sales businesses by providing better-than-industry margins,2021,India
1860,ChefKart,consumer goods,pre-seed,300000,Gurugram,"ChefKart is an end to end kitchen aide that plans, shops and cooks for you in your home kitchen.",2021,India
1861,Fashinza,apparel & fashion,series a,20000000,Gurugram,A new-age supply chain and product development platform for the fashion industry.,2021,India
1862,Fabheads,industrial automation,pre-series a,1600000,Chennai,Fabheads is a hardware startup creating automation equipment to manufacture high-end carbon fiber parts.,2021,India
1863,QuickShift,logistics & supply chain,seed,770000,Pune,"Helping D2C brands scale with our AI powered Dashboard that manages Inventory, Order Processing, WMS, Shipping, Customer Support",2021,India
1864,StackBOX,logistics & supply chain,seed,1200000,Bengaluru,DISTRIBUTION SIMPLIFIED,2021,India
1865,MedPrime Technologies,healthcare,seed,1600000,Thane,"MedPrime Technologies is a medical device company, dedicated to developing the best, customer-centric solutions for the healthcare needs of the world.",2021,India
1866,infra.market,construction,series d,125000000,Thane,Infra.Market is a Construction Solutions company that leverages technology to provide an enhanced procurement experience for all players in the construction ecosystem.,2021,India
1867,CollegeDekho,e-learning,series b,35000000,Gurgaon,"Collegedekho.com is Student’s Partner, Friend & Confidante, To Help Him Take a Decision and Move On to His Career Goals",2021,India
1868,BOX8,food & beverages,seed,40000000,Mumbai,India's Largest Desi Meals Brand,2021,India
1869,Simpl,consumer services,series b,40000000,Bengaluru,"Simpl empowers merchants to build trusted relationships with their customers one transaction at a time through one-click checkout, personalized PoS credit and intelligent loyalty rewards",2021,India
1870,8i Ventures,venture capital & private equity,seed,50000000,Mumbai,8i is a Mumbai & Bangalore based early stage fund that backs founders creating fintech and consumer category leaders in India.,2021,India
1871,PayGlocal,financial services,series a,4900000,Bengaluru,PayGlocal is a FinTech solving for global payments acceptance,2021,India
1872,Curefit,"health, wellness & fitness",seed,145000000,Bengaluru,Tata Digital-backed Curefit,2021,India
1873,Pocket FM,ott,series b,22000000,Bengaluru,"Pocket FM lets users discover and enjoy the greatest selection of audio content ranging from audiobooks, stories and podcasts from the most diverse creator community.",2021,India
1874,CHARGE+ZONE,automotive,seed,10000000,Vadodara,CHARGE+ZONE is a tech-driven EV Charging infrastructure company specializing in B2B and B2C charging services on both dedicated and opportunity based charging using smart-grid network.,2021,India
1875,PlanetSpark,education management,series b,13000000,Gurugram,PlanetSpark is building the World Leader in Communication Skills for children in the age groups of 4 to 14 years,2021,India
1876,LenDenClub,financial services,series a,10000000,Mumbai,P2P lending platform delivering high returns of up to 12% p.a. for 5 years to investors.,2021,India
1877,CometChat,computer software,series a,10000000,Mumbai,"Voice, video & text chat SDKs, APIs & Plugins for Developers.",2021,India
